timestamp,value
2019-07-04 05:16:05,24.3
2019-07-04 05:32:06,24.3
2019-07-04 05:48:06,24.4
2019-07-04 06:00:06,24.4
2019-07-04 06:16:05,24.6
2019-07-04 06:32:06,24.5
2019-07-04 06:48:06,24.6
2019-07-04 07:00:06,24.6
2019-07-04 07:16:05,24.8
2019-07-04 07:32:06,24.8
2019-07-04 07:48:05,24.7
2019-07-04 08:00:06,24.7
2019-07-04 08:16:06,24.9
2019-07-04 08:32:05,25.0
2019-07-04 08:48:05,25.1
2019-07-04 09:00:06,25.1
2019-07-04 09:16:06,25.1
2019-07-04 09:32:06,24.5
2019-07-04 09:48:06,24.1
2019-07-04 10:00:06,24.1
2019-07-04 10:16:06,24.2
2019-07-04 10:32:06,24.2
2019-07-04 10:48:05,24.4
2019-07-04 11:00:06,24.4
2019-07-04 11:16:06,24.8
2019-07-04 11:32:06,24.9
2019-07-04 11:48:06,25.1
2019-07-04 12:00:06,25.1
2019-07-04 12:16:05,24.8
2019-07-04 12:32:06,24.7
2019-07-04 12:48:06,24.7
2019-07-04 13:00:06,24.7
2019-07-04 13:16:06,25.2
2019-07-04 13:32:06,25.4
2019-07-04 13:48:06,25.5
2019-07-04 14:00:06,25.5
2019-07-04 14:16:06,25.7
2019-07-04 14:32:05,25.7
2019-07-04 14:48:05,25.8
2019-07-04 15:00:06,25.8
2019-07-04 15:16:06,25.9
2019-07-04 15:32:05,26.0
2019-07-04 15:48:05,25.9
2019-07-04 16:00:06,25.9
2019-07-04 16:16:06,25.7
2019-07-04 16:32:06,25.6
2019-07-04 16:48:06,25.6
2019-07-04 17:00:06,25.6
2019-07-04 17:16:05,25.4
2019-07-04 17:32:06,25.4
2019-07-04 17:48:06,25.4
2019-07-04 18:00:06,25.4
2019-07-04 18:16:06,25.3
2019-07-04 18:32:05,25.3
2019-07-04 18:48:05,25.2
2019-07-04 19:00:06,25.2
2019-07-04 19:16:05,25.2
2019-07-04 19:32:06,25.2
2019-07-04 19:48:06,25.2
2019-07-04 20:00:07,25.2
2019-07-04 20:16:06,25.1
2019-07-04 20:32:05,25.1
2019-07-04 20:48:06,25.1
2019-07-04 21:00:07,25.1
2019-07-04 21:16:06,25.1
2019-07-04 21:32:05,25.1
2019-07-04 21:48:05,25.0
2019-07-04 22:00:06,25.0
2019-07-04 22:16:05,25.0
2019-07-04 22:32:05,25.0
